No,Code,Category,Name
266,6735,쇼핑몰,자사몰
260,2107,쇼핑몰,메타광고
259,0563,쇼핑몰,구글(광고)
228,3965,업체,주식회사 미디어닥터
227,7251,쇼핑몰,토스쇼핑
226,1882,쇼핑몰,카카오쇼핑
225,0773,쇼핑몰,네이버(259)
224,1249,쇼핑몰,네이버(159)
223,3705,쇼핑몰,옥션(abar259)
222,4197,쇼핑몰,G마켓(abar259)
221,3072,업체,쿠팡(로켓배송)
220,8833,쇼핑몰,쿠팡(로켓그로스)
219,2274,업체,자연수
218,2273,업체,(주)서문
217,2272,업체,(주)설국
216,2271,업체,미르씨푸드
215,2270,업체,(주)아바르
214,2269,업체,예가
213,2268,쇼핑몰,당근
212,2267,업체,미르씨푸드
211,2266,업체,바이오크로스
210,2265,업체,(주)효성물산
209,2264,업체,한려엔쵸비
208,2263,업체,우영수산
207,2262,업체,텔레오
206,2261,업체,(주)깊은바다
205,2260,업체,지오쇼핑
204,2259,업체,링크홈쇼핑
203,2258,업체,대방수산
202,2257,업체,(주)이루
201,2256,업체,아비스인터내셔날
200,2255,업체,(주)청아무역
199,2248,업체,에스앤씨메이드
198,2250,업체,(주)동해로 씨푸드
197,2252,업체,(주)더아우름(네오드림)
196,2251,업체,지앤템
195,2249,업체,김영일(삼원)
194,2246,업체,실버브라더스
193,2245,업체,CCS 충북방송
192,2244,업체,서나마켓
191,2243,업체,투굿
190,2242,업체,동부산보일러/에어컨
189,2241,업체,김영일(에어샷)
188,2240,업체,김영일(NS)
187,2239,업체,(주)파워풀엑스
186,2238,홈쇼핑,롯데홈쇼핑
185,2237,홈쇼핑,CJ오쇼핑
184,2236,업체,김영일(신세계)
183,2233,업체,A-스토어팜
182,2228,홈쇼핑,홈앤쇼핑
181,2226,홈쇼핑,GSSHOP(중기통)
180,2223,홈쇼핑,GS마이샵
179,2221,업체,와이제이수산
178,2220,업체,오붐(주)(나한가)
177,2219,업체,칠성로지스
176,2218,업체,(주) 씨유홈쇼핑
175,2217,업체,CJ대한통운(기장)
174,2216,업체,예당디앤피(디자인)
173,2215,홈쇼핑,NS홈쇼핑
172,2214,업체,미얀마
171,2213,업체,(주) 글로벌홈씨
170,2212,홈쇼핑,GS
169,2211,업체,포샵
167,2205,홈쇼핑,GSSHOP
165,2195,업체,디엘비 (주)
164,2194,업체,A-W쇼핑
163,2191,업체,(주)에이치엘사이언스
162,2190,업체,김영일(롯데)
161,2189,홈쇼핑,NS
160,2179,업체,(주)씨엠에이치
159,2178,업체,김영일(홈앤)
158,2177,업체,에이블커뮤니케이션
157,2176,업체,김영일(기타)
156,2169,업체,한양건강생활
155,2168,업체,(주)코레존
154,2167,홈쇼핑,K쇼핑
153,2165,쇼핑몰,쿠팡(판매자배송)
152,2164,업체,(주)로코스9
151,2163,업체,삼원생활과학 (주)
150,2162,업체,(주) 아이비머티리얼즈
149,2161,업체,(주) 노트커뮤니케이션
148,2160,업체,아크로솔루션
147,2159,업체,(주) 티에스글로리
